iter	Logloss
0	0.5878134711
1	0.5158960989
2	0.4673458332
3	0.4342675465
4	0.4106164016
5	0.393410077
6	0.3800954808
7	0.3697052425
8	0.3613328226
9	0.3543720101
10	0.3487930752
11	0.3443871959
12	0.339750853
13	0.3368945855
14	0.3329188359
15	0.3300664136
16	0.3280839589
17	0.3261397088
18	0.3247024506
19	0.323103599
20	0.3222196981
21	0.3211707246
22	0.3194333828
23	0.3180890285
24	0.3170282231
25	0.3163718426
26	0.315446661
27	0.3143525959
28	0.3136949725
29	0.312827686
30	0.3118591025
31	0.3113359558
32	0.3105310495
33	0.3100626075
34	0.3096389936
35	0.3088793851
36	0.3083928281
37	0.3078005969
38	0.3072845741
39	0.3068767826
40	0.3063270329
41	0.3058638624
42	0.3054172967
43	0.3048297512
44	0.3043604089
45	0.3039486547
46	0.3035355788
47	0.3032466598
48	0.3027179871
49	0.3023674641
50	0.3020017819
51	0.301648874
52	0.3014263369
53	0.3009585958
54	0.3007955687
55	0.3006272779
56	0.3003901251
57	0.3001539226
58	0.3000254223
59	0.2998419762
60	0.2994632892
61	0.2990998224
62	0.298778484
63	0.2986359068
64	0.2982870215
65	0.2980469107
66	0.2978751304
67	0.2974689087
68	0.2971072411
69	0.2968695249
70	0.2966045723
71	0.2965091098
72	0.2961317948
73	0.295830655
74	0.2955557988
75	0.2951540728
76	0.2950273402
77	0.2947954943
78	0.2946730601
79	0.2945500087
80	0.2944236829
81	0.2942305546
82	0.2940787273
83	0.2939515921
84	0.2937242411
85	0.2933901346
86	0.2931337698
87	0.2929445893
88	0.2928256001
89	0.2925759298
90	0.2924431583
91	0.2923452949
92	0.2920219629
93	0.2916537854
94	0.2914482311
95	0.2912408037
96	0.2910974554
97	0.2909080734
98	0.2906271001
99	0.290443672
100	0.2901994229
101	0.2898740129
102	0.2897367464
103	0.2895733948
104	0.2892995334
105	0.2890097826
106	0.2888021581
107	0.2885578948
108	0.2882946431
109	0.2881726993
110	0.2881051798
111	0.2879599586
112	0.2877760843
113	0.2875750031
114	0.2875051819
115	0.2872446313
116	0.2870244802
117	0.2868543069
118	0.2866462801
119	0.2864667209
120	0.2863290023
121	0.2862398192
122	0.2860092247
123	0.2859458622
124	0.2856707319
125	0.2855646484
126	0.2852759883
127	0.2851152088
128	0.2850299408
129	0.2849135428
130	0.2847403962
131	0.2846005502
132	0.2844210076
133	0.2843198958
134	0.2840907937
135	0.2838990939
136	0.2837984199
137	0.2836811867
138	0.2835864895
139	0.2835294415
140	0.283469148
141	0.2833062388
142	0.2831937315
143	0.283088538
144	0.2830352682
145	0.2829495251
146	0.2827250332
147	0.2825681799
148	0.2824617701
149	0.2822160779
150	0.2820047087
151	0.2819267254
152	0.2818186716
153	0.2816807575
154	0.281436075
155	0.2813277621
156	0.2812532909
157	0.2811808878
158	0.2810899723
159	0.2810110754
160	0.2809786104
161	0.2808595973
162	0.280783007
163	0.2805710221
164	0.2804892626
165	0.28029361
166	0.2800970251
167	0.2799137009
168	0.2797501479
169	0.2796595291
170	0.2795935971
171	0.2795068876
172	0.279336708
173	0.2792635389
174	0.2791750462
175	0.2790911098
176	0.2790605395
177	0.278919786
178	0.2788003792
179	0.2786139244
180	0.2784638043
181	0.2783356052
182	0.2782686454
183	0.278162714
184	0.2780617828
185	0.2779946872
186	0.2778903428
187	0.2778080306
188	0.2776670024
189	0.2776381567
190	0.2775165492
191	0.2774273719
192	0.2773594603
193	0.2772642185
194	0.2770931892
195	0.2768022936
196	0.2766677722
197	0.2766208021
198	0.2765476675
199	0.2764790826
200	0.2764389115
201	0.2763637442
202	0.276142189
203	0.2759945991
204	0.2759523587
205	0.2758718795
206	0.2757592604
207	0.275679557
208	0.2755585358
209	0.2754565055
210	0.2753067159
211	0.2752019206
212	0.2750696261
213	0.2750356733
214	0.2748723033
215	0.2747873335
216	0.2747475677
217	0.2746939996
218	0.2746057718
219	0.2745379348
220	0.2744849442
221	0.2743769819
222	0.2742675772
223	0.2741750612
224	0.2740947701
225	0.2739886994
226	0.2737645966
227	0.2737132063
228	0.2735801585
229	0.2734888046
230	0.2733423675
231	0.2732601267
232	0.2732268719
233	0.2732013597
234	0.2731334597
235	0.2730265718
236	0.2729302528
237	0.2728795671
238	0.2727613204
239	0.2727127671
240	0.272601285
241	0.2724779242
242	0.2724477193
243	0.2723537621
244	0.2722550691
245	0.2721334647
246	0.2720708816
247	0.2719931864
248	0.2718577482
249	0.271846962
