iter	Passed	Remaining
0	53	13438
1	104	12972
2	153	12611
3	204	12587
4	256	12546
5	301	12250
6	350	12169
7	398	12064
8	452	12105
9	502	12066
10	549	11946
11	592	11752
12	635	11578
13	676	11395
14	721	11310
15	766	11210
16	813	11152
17	854	11018
18	898	10922
19	941	10828
20	981	10701
21	1023	10604
22	1068	10548
23	1110	10456
24	1153	10377
25	1191	10261
26	1236	10208
27	1277	10126
28	1322	10079
29	1366	10023
30	1409	9955
31	1450	9884
32	1494	9828
33	1535	9752
34	1578	9696
35	1625	9661
36	1668	9603
37	1712	9554
38	1753	9489
39	1797	9436
40	1836	9362
41	1881	9315
42	1921	9249
43	1967	9210
44	2010	9160
45	2059	9133
46	2104	9091
47	2145	9030
48	2191	8991
49	2238	8952
50	2282	8907
51	2330	8875
52	2372	8819
53	2420	8784
54	2462	8731
55	2504	8676
56	2547	8626
57	2589	8573
58	2635	8533
59	2678	8481
60	2720	8429
61	2762	8375
62	2804	8323
63	2845	8270
64	2890	8228
65	2934	8181
66	2977	8132
67	3025	8097
68	3072	8059
69	3115	8011
70	3161	7971
71	3203	7920
72	3251	7884
73	3297	7842
74	3342	7798
75	3387	7754
76	3427	7700
77	3470	7653
78	3511	7601
79	3554	7553
80	3599	7509
81	3647	7472
82	3689	7423
83	3731	7374
84	3776	7330
85	3823	7291
86	3867	7246
87	3911	7201
88	3955	7155
89	3998	7108
90	4043	7065
91	4084	7014
92	4131	6974
93	4175	6929
94	4218	6883
95	4261	6836
96	4302	6785
97	4339	6730
98	4386	6689
99	4427	6641
100	4472	6597
101	4514	6551
102	4555	6501
103	4594	6449
104	4637	6404
105	4683	6361
106	4726	6316
107	4770	6272
108	4813	6226
109	4854	6178
110	4895	6130
111	4936	6082
112	4985	6044
113	5036	6007
114	5075	5957
115	5117	5911
116	5161	5867
117	5204	5822
118	5249	5779
119	5302	5744
120	5346	5699
121	5384	5649
122	5427	5603
123	5466	5554
124	5511	5511
125	5561	5473
126	5600	5424
127	5639	5375
128	5678	5326
129	5718	5278
130	5762	5234
131	5806	5190
132	5851	5147
133	5895	5103
134	5941	5060
135	5985	5017
136	6024	4969
137	6072	4928
138	6112	4881
139	6165	4844
140	6220	4808
141	6260	4761
142	6302	4715
143	6341	4667
144	6379	4619
145	6417	4571
146	6462	4528
147	6503	4481
148	6540	4433
149	6581	4387
150	6618	4339
151	6654	4290
152	6692	4243
153	6731	4196
154	6771	4150
155	6808	4102
156	6847	4056
157	6884	4008
158	6919	3960
159	6954	3911
160	6985	3861
161	7025	3816
162	7058	3767
163	7098	3722
164	7136	3676
165	7174	3630
166	7214	3585
167	7254	3540
168	7295	3496
169	7331	3450
170	7368	3403
171	7405	3358
172	7447	3314
173	7483	3268
174	7519	3222
175	7555	3176
176	7586	3128
177	7622	3083
178	7661	3038
179	7701	2994
180	7743	2951
181	7781	2907
182	7814	2861
183	7853	2816
184	7890	2772
185	7924	2726
186	7959	2681
187	7996	2637
188	8035	2593
189	8069	2548
190	8106	2504
191	8143	2460
192	8179	2415
193	8220	2372
194	8260	2329
195	8299	2286
196	8340	2243
197	8379	2200
198	8419	2157
199	8454	2113
200	8492	2070
201	8532	2027
202	8572	1984
203	8611	1941
204	8645	1897
205	8681	1854
206	8718	1811
207	8756	1768
208	8792	1724
209	8829	1681
210	8866	1638
211	8906	1596
212	8944	1553
213	8979	1510
214	9019	1468
215	9054	1425
216	9088	1382
217	9124	1339
218	9158	1296
219	9193	1253
220	9227	1210
221	9266	1168
222	9305	1126
223	9341	1084
224	9380	1042
225	9419	1000
226	9457	958
227	9491	915
228	9529	873
229	9568	832
230	9604	789
231	9643	748
232	9683	706
233	9721	664
234	9763	623
235	9801	581
236	9838	539
237	9872	497
238	9910	456
239	9944	414
240	9980	372
241	10016	331
242	10047	289
243	10083	247
244	10121	206
245	10158	165
246	10192	123
247	10229	82
248	10267	41
249	10298	0
