iter	Passed	Remaining
0	205	40829
1	268	26618
2	356	23407
3	788	38651
4	905	35299
5	993	32134
6	1060	29237
7	1145	27500
8	1259	26719
9	1396	26526
10	1629	27995
11	1723	26998
12	1829	26312
13	1892	25143
14	1990	24550
15	2121	24402
16	2229	24004
17	2305	23312
18	2353	22418
19	2463	22169
20	2511	21408
21	2556	20682
22	2607	20070
23	2661	19514
24	2706	18947
25	2746	18382
26	2786	17851
27	2829	17381
28	2875	16954
29	2922	16563
30	3005	16383
31	3075	16145
32	3510	17762
33	3668	17910
34	3800	17917
35	3876	17661
36	3960	17449
37	4036	17206
38	4118	17001
39	4214	16858
40	4303	16690
41	4382	16485
42	4459	16280
43	4535	16081
44	4623	15925
45	4725	15820
46	4814	15672
47	4899	15514
48	4995	15395
49	5080	15241
50	5161	15078
51	5244	14926
52	5317	14749
53	5382	14552
54	5451	14372
55	5516	14185
56	5587	14017
57	5653	13841
58	5720	13670
59	5789	13507
60	5856	13345
61	5923	13184
62	5984	13014
63	6053	12863
64	6118	12707
65	6184	12557
66	6247	12401
67	6308	12246
68	6372	12098
69	6437	11954
70	6500	11811
71	6565	11672
72	6633	11540
73	6693	11396
74	6763	11272
75	6828	11141
76	6893	11011
77	6957	10881
78	7019	10750
79	7079	10619
80	7143	10494
81	7209	10374
82	7269	10247
83	7327	10119
84	7389	9997
85	7450	9876
86	7519	9766
87	7584	9653
88	7653	9545
89	7717	9432
90	7780	9320
91	7851	9216
92	7911	9102
93	7976	8994
94	8035	8881
95	8101	8776
96	8170	8676
97	8234	8571
98	8308	8476
99	8373	8373
100	8441	8274
101	8523	8188
102	8613	8111
103	8697	8028
104	8763	7928
105	8833	7833
106	8900	7735
107	8965	7637
108	9031	7539
109	9097	7443
110	9217	7390
111	9295	7303
112	9362	7208
113	9426	7110
114	9495	7018
115	9560	6923
116	9632	6833
117	9695	6737
118	9767	6648
119	9826	6551
120	9890	6457
121	9955	6365
122	10024	6275
123	10084	6180
124	10151	6090
125	10209	5995
126	10280	5909
127	10353	5823
128	10414	5731
129	10478	5642
130	10546	5554
131	10606	5464
132	10666	5373
133	10727	5283
134	10789	5195
135	10854	5107
136	10919	5021
137	10989	4937
138	11051	4849
139	11113	4762
140	11169	4673
141	11220	4583
142	11273	4493
143	11331	4406
144	11388	4319
145	11445	4233
146	11515	4151
147	11572	4065
148	11640	3984
149	11711	3903
150	11784	3823
151	11856	3744
152	11951	3671
153	12034	3594
154	12105	3514
155	12165	3431
156	12228	3349
157	12303	3270
158	12358	3186
159	12426	3106
160	12492	3026
161	12571	2948
162	12633	2867
163	12696	2787
164	12764	2707
165	12829	2627
166	12889	2546
167	12952	2467
168	13013	2387
169	13079	2308
170	13141	2228
171	13209	2150
172	13271	2071
173	13333	1992
174	13395	1913
175	13457	1835
176	13523	1757
177	13586	1679
178	13641	1600
179	13702	1522
180	13763	1444
181	13830	1367
182	13892	1290
183	13951	1213
184	14018	1136
185	14082	1059
186	14150	983
187	14216	907
188	14277	830
189	14333	754
190	14400	678
191	14465	602
192	14524	526
193	14582	450
194	14644	375
195	14697	299
196	14757	224
197	14815	149
198	14885	74
199	14949	0
