iter	Passed	Remaining
0	108	21550
1	340	33752
2	608	39976
3	717	35169
4	839	32731
5	964	31193
6	1092	30113
7	1216	29198
8	1285	27270
9	1334	25346
10	1375	23628
11	1419	22242
12	1467	21107
13	1513	20113
14	1559	19236
15	1607	18486
16	1654	17811
17	1699	17179
18	1749	16664
19	1792	16134
20	1837	15664
21	1884	15243
22	1928	14844
23	1976	14491
24	2023	14165
25	2066	13830
26	2110	13522
27	2155	13241
28	2201	12978
29	2242	12710
30	2287	12469
31	2331	12242
32	2373	12011
33	2421	11822
34	2465	11623
35	2510	11436
36	2556	11261
37	2600	11085
38	2643	10913
39	2691	10764
40	2738	10620
41	2781	10464
42	2822	10307
43	2862	10147
44	2908	10018
45	2953	9888
46	2999	9763
47	3039	9625
48	3086	9511
49	3135	9405
50	3178	9284
51	3223	9175
52	3269	9067
53	3311	8952
54	3350	8833
55	3395	8732
56	3437	8622
57	3477	8513
58	3515	8402
59	3560	8308
60	3605	8215
61	3644	8112
62	3686	8016
63	3729	7926
64	3770	7830
65	3813	7743
66	3858	7658
67	3895	7562
68	3941	7482
69	3982	7396
70	4024	7312
71	4065	7227
72	4109	7149
73	4147	7062
74	4192	6987
75	4234	6909
76	4277	6833
77	4317	6753
78	4356	6673
79	4429	6643
80	4476	6576
81	4520	6504
82	4556	6423
83	4594	6345
84	4630	6265
85	4676	6198
86	4716	6125
87	4756	6054
88	4798	5985
89	4838	5913
90	4878	5843
91	4920	5775
92	4963	5711
93	5003	5642
94	5041	5572
95	5082	5505
96	5122	5438
97	5164	5375
98	5206	5311
99	5245	5245
100	5288	5183
101	5329	5120
102	5373	5060
103	5415	4998
104	5457	4937
105	5499	4876
106	5542	4817
107	5580	4753
108	5621	4693
109	5660	4631
110	5699	4570
111	5740	4510
112	5783	4453
113	5824	4394
114	5863	4333
115	5904	4275
116	5946	4218
117	5989	4162
118	6032	4106
119	6074	4049
120	6111	3990
121	6153	3934
122	6194	3877
123	6237	3823
124	6279	3767
125	6319	3711
126	6361	3656
127	6407	3604
128	6449	3549
129	6494	3497
130	6534	3441
131	6572	3385
132	6615	3332
133	6656	3278
134	6700	3226
135	6742	3172
136	6784	3119
137	6822	3065
138	6866	3013
139	6906	2959
140	6950	2908
141	6985	2853
142	7026	2800
143	7074	2751
144	7118	2700
145	7159	2648
146	7203	2597
147	7243	2545
148	7285	2493
149	7329	2443
150	7368	2391
151	7414	2341
152	7457	2290
153	7496	2239
154	7534	2187
155	7572	2135
156	7607	2083
157	7645	2032
158	7678	1979
159	7712	1928
160	7750	1877
161	7785	1826
162	7822	1775
163	7857	1724
164	7893	1674
165	7928	1623
166	7961	1573
167	7998	1523
168	8036	1474
169	8076	1425
170	8110	1375
171	8148	1326
172	8183	1277
173	8219	1228
174	8252	1178
175	8289	1130
176	8329	1082
177	8363	1033
178	8399	985
179	8434	937
180	8475	889
181	8509	841
182	8545	793
183	8582	746
184	8618	698
185	8653	651
186	8688	604
187	8725	556
188	8759	509
189	8793	462
190	8828	416
191	8868	369
192	8900	322
193	8935	276
194	8971	230
195	9009	183
196	9043	137
197	9076	91
198	9112	45
199	9148	0
